timestamp,model_type,cv_score,std,fold_scores,n_folds,scoring_metric

-- 다 날리고 다시 시작
2026-03-09 00:54:41,catboost,0.9158115236901897,0.0009676373853231504,"0.9155,0.9166,0.9158,0.9170,0.9142",5,auc
2026-03-09 00:55:08,lightgbm,0.9158357043867966,0.0010788320099851512,"0.9156,0.9168,0.9159,0.9170,0.9140",5,auc
2026-03-09 00:55:16,xgboost,0.9153254742510387,0.0010743530473334803,"0.9149,0.9164,0.9154,0.9164,0.9135",5,auc
2026-03-09 00:55:20,ensemble,0.916335318143564,,,5,auc

--- Numeric으로 전환
--- 'MultipleLines', 'OnlineSecurity', 'OnlineBackup',
--- 'DeviceProtection', 'TechSupport', 'StreamingTV',
--- 'StreamingMovies'
2026-03-09 01:08:41,catboost,0.9158047000258652,0.0009362931516438147,"0.9155,0.9165,0.9159,0.9170,0.9143",5,auc
2026-03-09 01:09:06,lightgbm,0.9158242355296273,0.0010690696408925174,"0.9155,0.9167,0.9159,0.9170,0.9140",5,auc
2026-03-09 01:09:14,xgboost,0.9152835359460325,0.0010026452916227686,"0.9150,0.9160,0.9153,0.9165,0.9136",5,auc
2026-03-09 01:09:18,ensemble,0.9163108766536927,,,5,auc


--- numeric 0,1로 변환
2026-03-09 01:15:55,catboost,0.9158261942588597,0.0009223535704711502,"0.9155,0.9165,0.9158,0.9170,0.9143",5,auc
2026-03-09 01:16:23,lightgbm,0.9157999300080614,0.0010037178217330034,"0.9155,0.9167,0.9160,0.9169,0.9141",5,auc
2026-03-09 01:16:31,xgboost,0.9152387796891719,0.0009794035206908654,"0.9148,0.9161,0.9152,0.9165,0.9137",5,auc

--- tenure_subtract_Contract_numeric_FE	가입 기간 − 계약 길이 (갱신 후 추가 기간)
--- MonthlyCharges_x_Contract_numeric_FE	월요금×계약 길이 (예상 총 지불)
--- tenure_Contract_numeric_ratio
2026-03-09 01:22:25,catboost,0.9158149547452332,0.0009615277644437331,"0.9155,0.9166,0.9158,0.9170,0.9142",5,auc
2026-03-09 01:22:46,lightgbm,0.9157733526722425,0.0010150047555719133,"0.9154,0.9167,0.9159,0.9168,0.9140",5,auc
2026-03-09 01:22:55,xgboost,0.9151424785724928,0.0010038295934326146,"0.9148,0.9161,0.9153,0.9162,0.9134",5,auc
2026-03-09 01:22:58,ensemble,0.9162597953668263,,,5,auc

---  'Contract_numeric' x 'tenure' 제거 'tenure' - 'Contract_numeric'
