Feature,Ensemble,CATBOOST,LIGHTGBM,XGBOOST
is_month_to_month_x_payment_method_electronic_check,0.16678399585541762,0.006483073544041115,0.2555950304382523,0.36694612344892114
Contract_numeric,0.10845325016953265,0.021922424031296017,0.11395916032466187,0.27352281877087303
MonthlyCharges,0.10437128075917489,0.22310148991515785,0.06779222061636245,0.007213101882126445
tenure,0.09871152256608376,0.2107793254814181,0.06352195881487413,0.00786214042262122
Contract_numeric_inv,0.07396855553182234,0.002671465161694764,0.13788619576313632,0.13408487198173297
PaymentMethod_Electronic check_encoded,0.06675334356573266,0.0,0.08007127377063239,0.0658297658792962
SeniorCitizen_Dependents_Yes_FE,0.03524878249473793,0.08844005943761866,0.004881258762945886,0.003906879295041846
InternetService,0.03215475441419765,0.03542418288686794,0.0,0.0
MonthlyCharges_x_Contract_numeric_FE,0.030754249964277537,0.0002146221208240957,0.09484593381574925,0.012807138374785924
has_internet,0.028689586115331615,0.052388811646221126,0.0192530871712636,0.014767265055519136
TotalCharges_MonthlyCharges_x_Contract_numeric_FE_ratio,0.02830388209671777,0.060788291676235374,0.016841136179317578,0.0033446481002643983
SeniorCitizen_Partner_Yes_FE,0.02640732663800498,0.07016948917161936,7.368031569300941e-05,0.0012409055023729406
TotalCharges,0.026056035005229673,0.0569648315200767,0.015778513563517237,0.0012358965841332275
tenure_years,0.014382791866781113,0.012482869383103622,0.018091243787571286,0.01827758792178116
PaperlessBilling_Yes_encoded,0.0133439038142931,0.0,0.01821479614381969,0.010551436582414388
TechSupport,0.012024400791811211,0.013247016825793063,0.0,0.0
OnlineSecurity,0.011355332120580404,0.012509918645279863,0.0,0.0
tenure_Contract_numeric_ratio,0.011101947315724722,0.0004962974200950349,0.03451417396033842,0.0036642301503178668
PaperlessBilling,0.010190665434682424,0.011226831075956813,0.0,0.0
MultipleLines,0.010012189310074809,0.011030207870641708,0.0,0.0
has_internet_x_DeviceProtection_numeric_FE,0.008633762712464414,0.022603678233171005,0.0002552348435747495,0.0006437989538794285
has_internet_x_StreamingTV_numeric_FE,0.008580107570897893,0.01460084111179101,0.0047489839883359825,0.0072210917809608045
OnlineSecurity_numeric,0.007016802116096784,0.00986826321974936,0.007859564202819766,0.004344579617604672
tenure_segment,0.006386788659690874,0.0009286811805791226,0.007955546905380771,0.015186144032760432
Dependents_Yes_encoded,0.0055146500874947305,0.0,0.007806412362535648,0.004031457627898553
MultipleLines_numeric,0.005034776634255982,0.007618020045718979,0.003973122101208657,0.0042725367111734695
has_internet_x_OnlineSecurity_numeric_FE,0.004607550065370134,0.006467204924524012,0.004250354951008157,0.003947287877380127
Dependents,0.004238892064356894,0.004669893782773544,0.0,0.0
OnlineBackup,0.004180022425174507,0.004605038401263928,0.0,0.0
has_internet_x_OnlineBackup_numeric_FE,0.004014813193986028,0.00972159046676185,0.00044321539314866304,0.0011099130444958577
StreamingTV_numeric,0.002996534558970347,0.003417557433294313,0.0027238893095368347,0.00380696151562709
has_internet_x_StreamingMovies_numeric_FE,0.0029059896013304055,0.001999383675883961,0.002369018091726318,0.0060020981483704505
StreamingMovies_numeric,0.002902522297088367,0.0031685552289819003,0.0028727288982425586,0.0036252731686412984
SeniorCitizen_MonthlyCharges_FE,0.002887555836919528,0.002923488295664213,0.004005113020584071,0.002597913358649873
PaymentMethod,0.0025018237345947473,0.0027562039623558647,0.0,0.0
PaymentMethod_Mailed check_encoded,0.001959287345227699,0.0,0.00030770197227970137,0.004343816492215187
SeniorCitizen,0.0018865627213627847,0.0019490336572074705,0.001157611647664808,0.0033611749393908396
PhoneService,0.0016274016396803362,0.001792872449648392,0.0,0.0
DeviceProtection,0.0016048066860288436,0.0017679800881593127,0.0,0.0
PhoneService_Yes_encoded,0.0015727526958713692,0.0,0.001681725895263024,0.001792814942389517
Contract,0.0014946205704625608,0.001646590477803896,0.0,0.0
TechSupport_numeric,0.0013921580768579292,0.0005383244470812353,0.0022054696927820364,0.002245713345261081
has_internet_x_TechSupport_numeric_FE,0.001174197568945602,0.0008319003661692527,0.0014931543157406801,0.0017560936059439563
num_internet_services,0.0009981542703637206,0.0007025566497240153,0.0012612570913270319,0.0015092804791776563
DeviceProtection_numeric,0.0008389739187247099,0.0013808828852764487,0.0004977170437994142,0.0007374817382382537
StreamingTV,0.0007470611636226181,0.0008230207871268653,0.0,0.0
OnlineBackup_numeric,0.0007219695248989566,0.000706210480633296,0.000617011435573134,0.0011408169067506106
Partner,0.0007019023432166105,0.0007732703118966364,0.0,0.0
StreamingMovies,0.0006733658174348621,0.0007418322515952917,0.0,0.0
gender,0.0005953803382016354,0.0006559173712235703,0.0,0.0
PaymentMethod_Credit card (automatic)_encoded,0.00021339044827111236,0.0,8.896379729428721e-05,0.00040762149078240684
Partner_Yes_encoded,0.00018628945808954657,0.0,6.282997371055814e-05,0.0003733693469707752
gender_Male_encoded,0.00014133802383849638,0.0,4.3709638327665436e-05,0.00028795092323567485
