iter	Logloss
0	0.581028002
1	0.4957459418
2	0.4350517614
3	0.3904888064
4	0.3573714446
5	0.3339675519
6	0.316714704
7	0.3038729343
8	0.2940277182
9	0.2859929924
10	0.2799331914
11	0.2753642652
12	0.2715852117
13	0.2688834373
14	0.2664935047
15	0.264600539
16	0.263046267
17	0.2617385726
18	0.2607101838
19	0.2599657929
20	0.2592511467
21	0.2585918598
22	0.258115402
23	0.25792726
24	0.2573593773
25	0.2571001354
26	0.2568102397
27	0.2564872044
28	0.2561828634
29	0.255909971
30	0.2556953283
31	0.2555006809
32	0.2553333749
33	0.2550913981
34	0.2549730498
35	0.2548002737
36	0.2546674401
37	0.2545678762
38	0.2544049585
39	0.2543231611
40	0.2542473738
41	0.2541078681
42	0.253989607
43	0.253900813
44	0.253693882
45	0.2535946825
46	0.2535300319
47	0.2534174386
48	0.253370632
49	0.253317373
50	0.2532248322
51	0.2531725998
52	0.253092731
53	0.2530225574
54	0.2529312963
55	0.2527971018
56	0.2527414475
57	0.2526203761
58	0.252558877
59	0.2525271946
60	0.2524132233
61	0.2523149843
62	0.2522448628
63	0.2521837138
64	0.2520607855
65	0.2520204249
66	0.2519907659
67	0.2519441977
68	0.2518777927
69	0.2518199343
70	0.2517579518
71	0.2517109415
72	0.2516479747
73	0.2515826246
74	0.2515573365
75	0.2515306519
76	0.2514917878
77	0.2514720834
78	0.2514322977
79	0.2514053037
80	0.2513729979
81	0.2513290315
82	0.2513223567
83	0.2512730995
84	0.2512458467
85	0.2511396299
86	0.2510744149
87	0.2510481922
88	0.2510303009
89	0.250954989
90	0.2509352813
91	0.2508725419
92	0.2508349594
93	0.2507544107
94	0.2507163726
95	0.2506202095
96	0.2505952113
97	0.2505742211
98	0.2505617134
99	0.2505301714
100	0.2505017801
101	0.2504616251
102	0.2503816628
103	0.2503653401
104	0.2503349145
105	0.2503214609
106	0.2502740503
107	0.2502456748
108	0.2502352675
109	0.2502170246
110	0.2501962817
111	0.2501904247
112	0.2501570086
113	0.2501362887
114	0.2500712598
115	0.2500413054
116	0.2500412998
117	0.250011737
118	0.2499708795
119	0.2498853166
120	0.249861949
121	0.2498615417
122	0.2497410019
123	0.2496300639
124	0.2495354289
125	0.249516428
126	0.2494940683
127	0.2494840655
128	0.2493946667
129	0.2493683581
130	0.2493683431
131	0.2493546369
132	0.249271618
133	0.2492444407
134	0.2491612991
135	0.2491329678
136	0.2491329396
137	0.2490630385
138	0.2490630272
139	0.249032021
140	0.2489874795
141	0.2489564136
142	0.2488934244
143	0.2488083625
144	0.2487443233
145	0.248666688
146	0.2486118461
147	0.2485562585
148	0.248492561
149	0.2484205661
150	0.2484028263
151	0.2483615548
152	0.2483193444
153	0.2483019188
154	0.2482477
155	0.2482127002
156	0.2481822747
157	0.2481516232
158	0.2480647419
159	0.248043886
160	0.2480168184
161	0.247988983
162	0.247964972
163	0.2479297747
164	0.2478683913
165	0.2478683791
166	0.2477795693
167	0.2477403727
168	0.2477219657
169	0.2476680396
170	0.2476680364
171	0.247668015
172	0.2476629296
173	0.2476505629
174	0.2476224962
175	0.2475902976
176	0.2475673123
177	0.2475341355
178	0.2474710261
179	0.2474363061
180	0.247418193
181	0.2473929598
182	0.2473777414
183	0.2473496835
184	0.2472903719
185	0.2472903623
186	0.2472538452
187	0.2472315553
188	0.2471731422
189	0.2471550705
190	0.2470538095
191	0.247011419
192	0.2469862694
193	0.2469433378
194	0.2469433367
195	0.2469109132
196	0.2468917634
197	0.2468756101
198	0.2468756012
199	0.246875586
200	0.246875454
201	0.246875442
202	0.2468753505
203	0.2468228941
204	0.2468228916
205	0.2468055125
206	0.2467439144
207	0.2467084538
208	0.2466816099
209	0.2466538944
210	0.2466407412
211	0.2466109896
212	0.2465907645
213	0.246485329
214	0.246442108
215	0.2464395197
216	0.2464395105
217	0.2464071605
218	0.2464071537
219	0.2464071407
220	0.2463910703
221	0.2463374809
222	0.2462861577
223	0.2462758495
224	0.2462474172
225	0.2462474166
226	0.2462473877
227	0.2461937497
228	0.2461603849
229	0.2461603744
230	0.2461509607
231	0.2461303579
232	0.2460870232
233	0.2460322984
234	0.2460097276
235	0.2460097242
236	0.246005951
237	0.2459715107
238	0.2459715099
239	0.2459715035
240	0.2458768226
241	0.2458392561
242	0.2458227128
243	0.245761058
244	0.2457157121
245	0.2456781102
246	0.2456554917
247	0.2456554498
248	0.2456554424
249	0.2456206158
250	0.2456015764
251	0.2456015558
252	0.2456015313
253	0.2456015261
254	0.2455818196
255	0.245535594
256	0.2455222759
257	0.2455222135
258	0.2454970382
259	0.2454626889
260	0.245420731
261	0.245420462
262	0.2453873991
263	0.2453865626
264	0.245353647
265	0.2453264293
266	0.2453067121
267	0.245231467
268	0.2451816005
269	0.2451463697
270	0.2451005069
271	0.2450776757
272	0.2450449112
273	0.2450370234
274	0.2450209266
275	0.2450208887
276	0.2449978045
277	0.2449766799
278	0.2449607979
279	0.2449602477
280	0.2449403861
281	0.2449160647
282	0.2448972997
283	0.2448757931
284	0.2448565188
285	0.244854111
286	0.2448514102
287	0.244821613
288	0.2447980321
289	0.2447980208
290	0.2447979845
291	0.2447917303
292	0.2447800279
293	0.2447521514
294	0.2447521493
295	0.2447398069
296	0.2447286155
297	0.244689811
298	0.2446897902
299	0.2446897756
300	0.244675922
301	0.2446520634
302	0.2446346497
303	0.2445725547
304	0.2445497169
305	0.2445231862
306	0.2445043434
307	0.2444760778
308	0.244460803
309	0.244421317
310	0.2443951124
311	0.2443712782
312	0.244353242
313	0.2443529778
314	0.2443320138
315	0.2443319945
316	0.2443241841
317	0.2443241587
318	0.2442697221
319	0.2442606659
320	0.2442508464
321	0.2442508463
322	0.2442352632
323	0.2442047597
324	0.2441804915
325	0.2441568808
326	0.2441289252
327	0.244112252
328	0.2441022183
329	0.2440859293
330	0.2440816152
331	0.2440690771
332	0.244042571
333	0.2440053921
334	0.2440053561
335	0.2440052787
336	0.2440048587
337	0.2440048581
338	0.244003277
339	0.2440032561
340	0.243969296
341	0.243950352
342	0.2439409087
343	0.2439164471
344	0.2439004996
345	0.2438927157
346	0.2438671769
347	0.243867174
348	0.2438545701
349	0.24381612
350	0.2438161159
351	0.2437764284
352	0.2437677488
353	0.2437398816
354	0.2437313732
355	0.2437185822
356	0.2436945849
357	0.243694583
358	0.2436632866
359	0.2436499054
360	0.2436499029
361	0.2436207386
362	0.2435940926
363	0.2435768587
364	0.2435590208
365	0.2434878663
366	0.243433052
367	0.243415162
368	0.2433865807
369	0.2433642332
370	0.2433465294
371	0.2433225298
372	0.2433078962
373	0.2433011701
374	0.2432847106
375	0.2432641904
376	0.2432638089
377	0.2432288025
378	0.2432090497
379	0.2431892687
380	0.2431892608
381	0.2431867154
382	0.2431782412
383	0.2431782328
384	0.2431586314
385	0.243140491
386	0.2431272521
387	0.2431023213
388	0.2431023205
389	0.2431021094
390	0.2430846804
391	0.243078545
392	0.2430473628
393	0.2430328149
394	0.2430313451
395	0.2430310324
396	0.2430179057
397	0.2430034394
398	0.2429812403
399	0.2429812166
400	0.2429672062
401	0.242954731
402	0.2429547184
403	0.242934955
404	0.2429348719
405	0.2429341116
406	0.2429281868
407	0.2429207409
408	0.2428922924
409	0.2428789247
410	0.2428537668
411	0.2428291729
412	0.2428118783
413	0.2427931967
414	0.2427817598
415	0.2427817532
416	0.2427817524
417	0.2427587963
418	0.242752494
419	0.2427427716
420	0.2427217463
421	0.2426893614
422	0.2426827196
423	0.2426684471
424	0.2426517055
425	0.2426215866
426	0.2426211435
427	0.2426210437
428	0.2426010154
429	0.2425887159
430	0.2425792511
431	0.2425632765
432	0.2425385941
433	0.2425345838
434	0.24252542
435	0.2425043829
436	0.2424766694
437	0.2424641496
438	0.2424559924
439	0.2424484954
440	0.2424421373
441	0.2424212302
442	0.2423956623
443	0.2423956598
444	0.2423788519
445	0.2423765795
446	0.2423664438
447	0.2423549688
448	0.2423549536
449	0.2423296463
450	0.2423104457
451	0.2423104224
452	0.2423015099
453	0.2423015063
454	0.2422988286
455	0.2422809637
456	0.2422601899
457	0.2422371714
458	0.2422065325
459	0.242176579
460	0.2421538338
461	0.2421126337
462	0.2420686656
463	0.2420447638
464	0.2420214029
465	0.242007896
466	0.2419925025
467	0.2419744444
468	0.2419523741
469	0.2419229094
470	0.2419109691
471	0.2418928664
472	0.2418819403
473	0.2418581961
474	0.2418290107
