iter	Passed	Remaining
403	9324	1708
404	9348	1684
405	9372	1662
406	9394	1638
407	9417	1615
408	9439	1592
409	9462	1569
410	9484	1546
411	9507	1523
412	9530	1499
413	9551	1476
414	9574	1453
415	9597	1430
416	9621	1407
417	9643	1384
418	9666	1361
419	9690	1338
420	9715	1315
421	9737	1292
422	9763	1269
423	9789	1246
424	9811	1223
425	9835	1200
426	9859	1177
427	9883	1154
428	9905	1131
429	9927	1108
430	9950	1085
431	9974	1062
432	9999	1039
433	10023	1016
434	10048	993
435	10073	970
436	10098	947
437	10123	924
438	10144	901
439	10167	878
440	10189	854
441	10212	831
442	10235	808
443	10257	785
444	10277	762
445	10300	739
446	10332	716
447	10361	693
448	10383	670
449	10405	647
450	10428	624
451	10450	601
452	10503	579
453	10528	556
454	10550	533
455	10573	510
456	10599	487
457	10622	463
458	10643	440
459	10666	417
460	10689	394
461	10712	370
462	10735	347
463	10756	324
464	10778	301
465	10802	278
466	10825	254
467	10846	231
468	10889	208
469	10918	185
470	10945	162
471	10970	139
472	10994	116
473	11019	92
474	11042	69
475	11062	46
476	11087	23
477	11117	0
