Category,Total_Importance,Mean_Importance,Count
상호작용 (Interaction),0.4842,0.4842,1
원본 수치형 (Original Numeric),0.1698,0.0425,4
기타 (Other),0.0484,0.0484,1
비율 (Ratio),0.0042,0.0042,1
