iter	Passed	Remaining
421	2302	1669
422	2307	1663
423	2312	1658
424	2318	1652
425	2323	1647
426	2328	1641
427	2334	1636
428	2340	1631
429	2346	1626
430	2352	1620
431	2357	1615
432	2363	1610
433	2369	1604
434	2375	1599
435	2380	1594
436	2386	1588
437	2391	1583
438	2397	1577
439	2402	1572
440	2408	1567
441	2414	1562
442	2420	1556
443	2425	1551
444	2431	1546
445	2437	1541
446	2443	1535
447	2448	1530
448	2454	1524
449	2459	1519
450	2464	1513
451	2470	1508
452	2476	1503
453	2481	1497
454	2487	1492
455	2493	1487
456	2499	1482
457	2504	1476
458	2510	1471
459	2515	1465
460	2520	1460
461	2526	1454
462	2531	1448
463	2536	1443
464	2541	1437
465	2547	1432
466	2552	1426
467	2557	1421
468	2563	1415
469	2568	1409
470	2573	1404
471	2579	1398
472	2584	1393
473	2589	1387
474	2595	1382
475	2600	1376
476	2605	1371
477	2610	1365
478	2616	1359
479	2621	1354
480	2626	1348
481	2632	1343
482	2637	1337
483	2642	1332
484	2648	1326
485	2653	1321
486	2658	1315
487	2664	1310
488	2669	1304
489	2674	1299
490	2680	1293
491	2685	1288
492	2691	1283
493	2697	1277
494	2703	1272
495	2708	1266
496	2713	1261
497	2719	1255
498	2725	1250
499	2730	1245
500	2736	1239
501	2741	1234
502	2746	1228
503	2752	1223
504	2758	1218
505	2764	1212
506	2769	1207
507	2775	1202
508	2781	1196
509	2786	1191
510	2792	1185
511	2797	1180
512	2803	1175
513	2808	1169
514	2814	1163
515	2819	1158
516	2824	1152
517	2830	1147
518	2835	1141
519	2840	1136
520	2846	1130
521	2851	1125
522	2856	1119
523	2862	1114
524	2867	1108
525	2872	1103
526	2878	1097
527	2884	1092
528	2890	1087
529	2896	1082
530	2902	1076
531	2908	1071
532	2913	1065
533	2918	1060
534	2924	1054
535	2929	1049
536	2934	1043
537	2939	1038
538	2945	1032
539	2950	1027
540	2955	1021
541	2961	1016
542	2967	1011
543	2973	1005
544	2979	1000
545	2985	995
546	2990	989
547	2996	984
548	3002	979
549	3007	973
550	3013	967
551	3018	962
552	3024	957
553	3029	951
554	3034	945
555	3039	940
556	3045	934
557	3050	929
558	3055	923
559	3061	918
560	3066	912
561	3071	907
562	3076	901
563	3082	896
564	3087	890
565	3092	885
566	3098	879
567	3103	874
568	3108	868
569	3114	863
570	3119	857
571	3124	852
572	3130	846
573	3135	841
574	3140	835
575	3146	830
576	3151	824
577	3156	819
578	3162	813
579	3167	808
580	3172	802
581	3178	797
582	3184	791
